Category,References,Value,LCSC Part #,Footprint
Capacitors,C1,680uF,,ELEC-RAD10
Capacitors,C2,680uF,,ELEC-RAD10
Capacitors,C3,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C4,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C5,470uF,C2064,CAPAE1030X1270N
Capacitors,C6,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C7,0603B333K500NT,C106856,CAPC1608X90N
Capacitors,C8,0805YD106KAT4A,C90544,CAPC2012X152N
Capacitors,C9,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C10,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C11,220uF,C2063,EEHZT1E331UP
Capacitors,C12,220uF,C2063,EEHZT1E331UP
Capacitors,C13,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C14,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C15,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C16,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C17,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C18,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C19,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C20,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C21,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C22,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C23,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C24,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C25,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C26,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C27,0402YC104KAT2A,C1525,CAPC1005X56N
Capacitors,C28,C1608X7R1C105KT000N,,CAPC1608X87
Capacitors,C29,CL10A106MQ8NNNC,,CAPC1608X87
Capacitors,C30,C1608X7R1C105KT000N,,CAPC1608X87
Capacitors,C31,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C32,JMK316ABJ476MLHT,C395218,CAPPM3216X180N
Capacitors,C33,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C34,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C35,JMK316ABJ476MLHT,C395218,CAPPM3216X180N
Capacitors,C36,CC0603JRNPO9BN220,C105620,CAPC1608X87
Capacitors,C37,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C38,0402B222K500NT,C1531,CAPC1005X56N
Capacitors,C39,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C40,CC0603JRNPO9BN220,C105620,CAPC1608X87
Capacitors,C41,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C42,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C43,JMK316ABJ476MLHT,C395218,CAPPM3216X180N
Capacitors,C44,JMK316ABJ476MLHT,C395218,CAPPM3216X180N
Capacitors,C45,JMK316ABJ476MLHT,C395218,CAPPM3216X180N
Capacitors,C46,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C47,JMK316ABJ476MLHT,C395218,CAPPM3216X180N
Capacitors,C48,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C49,TAJA106K010RNJ,C7171,CAPPM3216X180N
Capacitors,C50,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C51,T491A105K016AT,,CAPMP3216X180
Capacitors,C52,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C53,0402B102K500NT,,CAPC1005X55N
Capacitors,C54,CL05B103KB5NNNC,,CAPC1005X55N
Capacitors,C55,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C56,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C57,CL10A106MQ8NNNC,,CAPC1608X87
Capacitors,C58,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C59,CL05B104KO5NNNC,,CAPC1005X55N
Capacitors,C60,TAJA106K010RNJ,C7171,CAPPM3216X180N
Capacitors,C61,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C62,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C63,0402YC104KAT2A,C1525,CAPC1005X56N
Capacitors,C64,CC0603JRNPO9BN220,C105620,CAPC1608X87
Capacitors,C65,CC0603JRNPO9BN220,C105620,CAPC1608X87
Capacitors,C66,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C67,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C68,0402F104M500NT,C1525,CAPC1005X56N
Capacitors,C69,CL05B104KO5NNNC,,CAPC1005X55N
Capacitors,C70,0402YC104KAT2A,C1525,CAPC1005X56N
Capacitors,C71,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C72,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C73,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C74,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C75,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C76,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C77,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C78,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C79,0402YC104KAT2A,C1525,CAPC1005X56N
Capacitors,C80,0402B104K160CT,C1525,CAPC1005X55N
Capacitors,C81,TAJA106K010RNJ,,CAPPM3216X180N
Resistors,R1,0805W8J0512T5E,,RESC2012X50
Resistors,R2,0805W8J0512T5E,,RESC2012X50
Resistors,R3,RC0402FR-0727RL,,RESC1005X40N
Resistors,R4,RC0402FR-0727RL,,RESC1005X40N
Resistors,R5,ERJ2RKF4701X,C400631,RESC1005X40N
Resistors,R6,RC0402FR-131KP,C11702,RESC1005X40N
Resistors,R7,RN731ETTP3300B25,C12246,RESC1005X40N
Resistors,R8,RN731ETTP3300B25,C12246,RESC1005X40N
Resistors,R9,ERJ2RKF4701X,C400631,RESC1005X40N
Resistors,R10,0402WGF1501TCE,C25867,RESC1005X40N
Resistors,R11,CR0402F10K0Q10Z,C881209,RESC1005X40N
Resistors,R12,CR0402FF2201G,C100309,RESC1005X40N
Resistors,R13,CR0402F10K0Q10Z,C881209,RESC1005X40N
